Time (s),North (m),East (m),Down (m)
0.0,5.000000000000001,8.660254037844386,0.0
0.1,5.4830000000000005,8.660254037844386,-0.129
0.2,5.966000000000001,8.660254037844386,-0.259
0.3,6.449000000000001,8.660254037844386,-0.388
0.4,6.932,8.660254037844386,-0.518
0.5,7.415000000000001,8.660254037844386,-0.647
0.6,7.8980000000000015,8.660254037844386,-0.776
0.7,8.381,8.660254037844386,-0.906
0.8,8.864,8.660254037844386,-1.035
0.9,9.347000000000001,8.660254037844386,-1.165
1.0,9.830000000000002,8.660254037844386,-1.294
1.1,10.313,8.660254037844386,-1.424
1.2,10.796000000000001,8.660254037844386,-1.553
1.3,11.279,8.660254037844386,-1.682
1.4,11.761000000000001,8.660254037844386,-1.812
1.5,12.244,8.660254037844386,-1.941
1.6,12.727,8.660254037844386,-2.071
1.7,13.21,8.660254037844386,-2.2
1.8,13.693000000000001,8.660254037844386,-2.329
1.9,14.176000000000002,8.660254037844386,-2.459
2.0,14.659000000000002,8.660254037844386,-2.588
2.1,15.142,8.660254037844386,-2.718
2.2,15.625,8.660254037844386,-2.847
2.3,16.108,8.660254037844386,-2.976
2.4,16.591,8.660254037844386,-3.106
2.5,17.074,8.660254037844386,-3.235
2.6,17.557000000000002,8.660254037844386,-3.365
2.7,18.04,8.660254037844386,-3.494
2.8,18.523,8.660254037844386,-3.623
2.9,19.006,8.660254037844386,-3.753
3.0,19.489,8.660254037844386,-3.882
3.1,19.972,8.660254037844386,-4.012
3.2,20.455000000000002,8.660254037844386,-4.141
3.3,20.938000000000002,8.660254037844386,-4.271
3.4,21.421,8.660254037844386,-4.4
3.5,21.904,8.660254037844386,-4.529
3.6,22.387,8.660254037844386,-4.659
3.7,22.87,8.660254037844386,-4.788
3.8,23.353,8.660254037844386,-4.918
3.9,23.836,8.660254037844386,-5.047
4.0,24.319,8.660254037844386,-5.176
4.1,24.801,8.660254037844386,-5.306
4.2,25.284,8.660254037844386,-5.435
4.3,25.767,8.660254037844386,-5.565
4.4,26.25,8.660254037844386,-5.694
4.5,26.733,8.660254037844386,-5.823
4.6,27.216,8.660254037844386,-5.953
4.7,27.699,8.660254037844386,-6.082
4.8,28.182,8.660254037844386,-6.212
4.9,28.665,8.660254037844386,-6.341
5.0,29.148,8.660254037844386,-6.47
5.1,29.631,8.660254037844386,-6.6
5.2,30.114,8.660254037844386,-6.729
5.3,30.597,8.660254037844386,-6.859
5.4,31.08,8.660254037844386,-6.988
5.5,31.563,8.660254037844386,-7.118
5.6,32.046,8.660254037844386,-7.247
