Time (s),North (m),East (m),Down (m)
0.0,-10.0,1.2246467991473533e-15,0.0
0.1,-9.517,1.2246467991473533e-15,-0.129
0.2,-9.034,1.2246467991473533e-15,-0.259
0.3,-8.551,1.2246467991473533e-15,-0.388
0.4,-8.068,1.2246467991473533e-15,-0.518
0.5,-7.585,1.2246467991473533e-15,-0.647
0.6,-7.102,1.2246467991473533e-15,-0.776
0.7,-6.619,1.2246467991473533e-15,-0.906
0.8,-6.136,1.2246467991473533e-15,-1.035
0.9,-5.653,1.2246467991473533e-15,-1.165
1.0,-5.17,1.2246467991473533e-15,-1.294
1.1,-4.687,1.2246467991473533e-15,-1.424
1.2,-4.204,1.2246467991473533e-15,-1.553
1.3,-3.721,1.2246467991473533e-15,-1.682
1.4,-3.239,1.2246467991473533e-15,-1.812
1.5,-2.7560000000000002,1.2246467991473533e-15,-1.941
1.6,-2.2729999999999997,1.2246467991473533e-15,-2.071
1.7,-1.7899999999999991,1.2246467991473533e-15,-2.2
1.8,-1.3070000000000004,1.2246467991473533e-15,-2.329
1.9,-0.8239999999999998,1.2246467991473533e-15,-2.459
2.0,-0.3409999999999993,1.2246467991473533e-15,-2.588
2.1,0.14199999999999946,1.2246467991473533e-15,-2.718
2.2,0.625,1.2246467991473533e-15,-2.847
2.3,1.1080000000000005,1.2246467991473533e-15,-2.976
2.4,1.5909999999999993,1.2246467991473533e-15,-3.106
2.5,2.074,1.2246467991473533e-15,-3.235
2.6,2.5570000000000004,1.2246467991473533e-15,-3.365
2.7,3.039999999999999,1.2246467991473533e-15,-3.494
2.8,3.5229999999999997,1.2246467991473533e-15,-3.623
2.9,4.006,1.2246467991473533e-15,-3.753
3.0,4.489000000000001,1.2246467991473533e-15,-3.882
3.1,4.9719999999999995,1.2246467991473533e-15,-4.012
3.2,5.455,1.2246467991473533e-15,-4.141
3.3,5.938000000000001,1.2246467991473533e-15,-4.271
3.4,6.420999999999999,1.2246467991473533e-15,-4.4
3.5,6.904,1.2246467991473533e-15,-4.529
3.6,7.3870000000000005,1.2246467991473533e-15,-4.659
3.7,7.870000000000001,1.2246467991473533e-15,-4.788
3.8,8.353000000000002,1.2246467991473533e-15,-4.918
3.9,8.835999999999999,1.2246467991473533e-15,-5.047
4.0,9.318999999999999,1.2246467991473533e-15,-5.176
4.1,9.800999999999998,1.2246467991473533e-15,-5.306
4.2,10.283999999999999,1.2246467991473533e-15,-5.435
4.3,10.767,1.2246467991473533e-15,-5.565
4.4,11.25,1.2246467991473533e-15,-5.694
4.5,11.733,1.2246467991473533e-15,-5.823
4.6,12.216000000000001,1.2246467991473533e-15,-5.953
4.7,12.699000000000002,1.2246467991473533e-15,-6.082
4.8,13.181999999999999,1.2246467991473533e-15,-6.212
4.9,13.665,1.2246467991473533e-15,-6.341
5.0,14.148,1.2246467991473533e-15,-6.47
5.1,14.631,1.2246467991473533e-15,-6.6
5.2,15.114,1.2246467991473533e-15,-6.729
5.3,15.597000000000001,1.2246467991473533e-15,-6.859
5.4,16.08,1.2246467991473533e-15,-6.988
5.5,16.563,1.2246467991473533e-15,-7.118
5.6,17.046,1.2246467991473533e-15,-7.247
5.7,17.529,1.2246467991473533e-15,-7.376
5.8,18.012,1.2246467991473533e-15,-7.506
5.9,18.495,1.2246467991473533e-15,-7.635
6.0,18.978,1.2246467991473533e-15,-7.765
6.1,19.461,1.2246467991473533e-15,-7.894
6.2,19.944,1.2246467991473533e-15,-8.023
6.3,20.427,1.2246467991473533e-15,-8.153
6.4,20.91,1.2246467991473533e-15,-8.282
6.5,21.393,1.2246467991473533e-15,-8.412
6.6,21.876,1.2246467991473533e-15,-8.541
6.7,22.359,1.2246467991473533e-15,-8.67
6.8,22.841,1.2246467991473533e-15,-8.8
6.9,23.323999999999998,1.2246467991473533e-15,-8.929
7.0,23.807000000000002,1.2246467991473533e-15,-9.059
7.1,24.29,1.2246467991473533e-15,-9.188
7.2,24.773000000000003,1.2246467991473533e-15,-9.317
7.3,25.256,1.2246467991473533e-15,-9.447
7.4,25.738999999999997,1.2246467991473533e-15,-9.576
7.5,26.222,1.2246467991473533e-15,-9.706
7.6,26.705,1.2246467991473533e-15,-9.835
7.7,27.188000000000002,1.2246467991473533e-15,-9.965
7.8,27.671,1.2246467991473533e-15,-10.094
7.9,28.154000000000003,1.2246467991473533e-15,-10.223
8.0,28.637,1.2246467991473533e-15,-10.353
8.1,29.119999999999997,1.2246467991473533e-15,-10.482
8.2,29.603,1.2246467991473533e-15,-10.612
8.3,30.086,1.2246467991473533e-15,-10.741
8.4,30.569000000000003,1.2246467991473533e-15,-10.87
8.5,31.052,1.2246467991473533e-15,-11.0
8.6,31.534999999999997,1.2246467991473533e-15,-11.129
8.7,32.018,1.2246467991473533e-15,-11.259
8.8,32.501,1.2246467991473533e-15,-11.388
8.9,32.984,1.2246467991473533e-15,-11.517
9.0,33.467,1.2246467991473533e-15,-11.647
9.1,33.95,1.2246467991473533e-15,-11.776
9.2,34.433,1.2246467991473533e-15,-11.906
9.3,34.916,1.2246467991473533e-15,-12.035
9.4,35.399,1.2246467991473533e-15,-12.164
9.5,35.881,1.2246467991473533e-15,-12.294
9.6,36.364,1.2246467991473533e-15,-12.423
9.7,36.847,1.2246467991473533e-15,-12.553
9.8,37.33,1.2246467991473533e-15,-12.682
9.9,37.813,1.2246467991473533e-15,-12.812
10.0,38.296,1.2246467991473533e-15,-12.941
10.1,38.779,1.2246467991473533e-15,-13.07
10.2,39.262,1.2246467991473533e-15,-13.2
10.3,39.745,1.2246467991473533e-15,-13.329
10.4,40.228,1.2246467991473533e-15,-13.459
10.5,40.711,1.2246467991473533e-15,-13.588
10.6,41.194,1.2246467991473533e-15,-13.717
10.7,41.677,1.2246467991473533e-15,-13.847
10.8,42.16,1.2246467991473533e-15,-13.976
10.9,42.643,1.2246467991473533e-15,-14.106
11.0,43.126,1.2246467991473533e-15,-14.235
11.1,43.609,1.2246467991473533e-15,-14.364
11.2,44.092,1.2246467991473533e-15,-14.494
11.3,44.575,1.2246467991473533e-15,-14.623
11.4,45.058,1.2246467991473533e-15,-14.753
11.5,45.541,1.2246467991473533e-15,-14.882
11.6,46.024,1.2246467991473533e-15,-15.012
11.7,46.507,1.2246467991473533e-15,-15.141
11.8,46.99,1.2246467991473533e-15,-15.27
11.9,47.473,1.2246467991473533e-15,-15.4
12.0,47.956,1.2246467991473533e-15,-15.529
12.1,48.439,1.2246467991473533e-15,-15.659
12.2,48.921,1.2246467991473533e-15,-15.788
12.3,49.404,1.2246467991473533e-15,-15.917
12.4,49.887,1.2246467991473533e-15,-16.047
12.5,50.37,1.2246467991473533e-15,-16.176
12.6,50.853,1.2246467991473533e-15,-16.306
12.7,51.336,1.2246467991473533e-15,-16.435
12.8,51.819,1.2246467991473533e-15,-16.564
12.9,52.302,1.2246467991473533e-15,-16.694
13.0,52.785,1.2246467991473533e-15,-16.823
13.1,53.268,1.2246467991473533e-15,-16.953
13.2,53.751,1.2246467991473533e-15,-17.082
13.3,54.233999999999995,1.2246467991473533e-15,-17.211
13.4,54.717,1.2246467991473533e-15,-17.341
13.5,55.2,1.2246467991473533e-15,-17.47
13.6,55.68300000000001,1.2246467991473533e-15,-17.6
13.7,56.166,1.2246467991473533e-15,-17.729
13.8,56.649,1.2246467991473533e-15,-17.859
13.9,57.132000000000005,1.2246467991473533e-15,-17.988
14.0,57.614999999999995,1.2246467991473533e-15,-18.117
14.1,58.098,1.2246467991473533e-15,-18.247
14.2,58.581,1.2246467991473533e-15,-18.376
14.3,59.06399999999999,1.2246467991473533e-15,-18.506
14.4,59.547,1.2246467991473533e-15,-18.635
14.5,60.03,1.2246467991473533e-15,-18.764
14.6,60.513000000000005,1.2246467991473533e-15,-18.894
14.7,60.995999999999995,1.2246467991473533e-15,-19.023
14.8,61.479,1.2246467991473533e-15,-19.153
14.9,61.961,1.2246467991473533e-15,-19.282
15.0,62.444,1.2246467991473533e-15,-19.411
15.1,62.92700000000001,1.2246467991473533e-15,-19.541
15.2,63.41,1.2246467991473533e-15,-19.67
15.3,63.893,1.2246467991473533e-15,-19.8
15.4,64.376,1.2246467991473533e-15,-19.929
15.5,64.859,1.2246467991473533e-15,-20.058
15.6,65.342,1.2246467991473533e-15,-20.188
15.7,65.825,1.2246467991473533e-15,-20.317
15.8,66.308,1.2246467991473533e-15,-20.447
15.9,66.791,1.2246467991473533e-15,-20.576
16.0,67.274,1.2246467991473533e-15,-20.706
16.1,67.757,1.2246467991473533e-15,-20.835
16.2,68.24,1.2246467991473533e-15,-20.964
16.3,68.723,1.2246467991473533e-15,-21.094
16.4,69.206,1.2246467991473533e-15,-21.223
16.5,69.689,1.2246467991473533e-15,-21.353
16.6,70.172,1.2246467991473533e-15,-21.482
16.7,70.655,1.2246467991473533e-15,-21.611
16.8,71.138,1.2246467991473533e-15,-21.741
16.9,71.621,1.2246467991473533e-15,-21.87
17.0,72.104,1.2246467991473533e-15,-22.0
17.1,72.587,1.2246467991473533e-15,-22.129
17.2,73.07,1.2246467991473533e-15,-22.258
17.3,73.553,1.2246467991473533e-15,-22.388
17.4,74.036,1.2246467991473533e-15,-22.517
17.5,74.519,1.2246467991473533e-15,-22.647
17.6,75.001,1.2246467991473533e-15,-22.776
17.7,75.484,1.2246467991473533e-15,-22.905
17.8,75.967,1.2246467991473533e-15,-23.035
17.9,76.45,1.2246467991473533e-15,-23.164
18.0,76.933,1.2246467991473533e-15,-23.294
18.1,77.416,1.2246467991473533e-15,-23.423
18.2,77.899,1.2246467991473533e-15,-23.553
18.3,78.382,1.2246467991473533e-15,-23.682
18.4,78.865,1.2246467991473533e-15,-23.811
18.5,79.348,1.2246467991473533e-15,-23.941
18.6,79.831,1.2246467991473533e-15,-24.07
18.7,80.314,1.2246467991473533e-15,-24.2
18.8,80.797,1.2246467991473533e-15,-24.329
18.9,81.28,1.2246467991473533e-15,-24.458
19.0,81.763,1.2246467991473533e-15,-24.588
19.1,82.246,1.2246467991473533e-15,-24.717
19.2,82.729,1.2246467991473533e-15,-24.847
19.3,83.212,1.2246467991473533e-15,-24.976
19.4,83.695,1.2246467991473533e-15,-25.105
19.5,84.178,1.2246467991473533e-15,-25.235
19.6,84.661,1.2246467991473533e-15,-25.364
19.7,85.144,1.2246467991473533e-15,-25.494
19.8,85.627,1.2246467991473533e-15,-25.623
19.9,86.11,1.2246467991473533e-15,-25.752
20.0,96.593,-9.999999999999998,-25.882
20.1,96.591,-9.842999999999998,-25.877
20.2,96.588,-9.685999999999998,-25.872
20.3,96.581,-9.528999999999998,-25.867
20.4,96.573,-9.371999999999998,-25.862
20.5,96.562,-9.214999999999998,-25.857
20.6,96.548,-9.058999999999997,-25.852
20.7,96.532,-8.902999999999999,-25.847
20.8,96.514,-8.746999999999998,-25.842
20.9,96.493,-8.590999999999998,-25.837
