Time (s),North (m),East (m),Down (m)
0.0,10.0,0.0,0.0
0.1,10.483,0.0,-0.129
0.2,10.966,0.0,-0.259
0.3,11.449,0.0,-0.388
0.4,11.932,0.0,-0.518
0.5,12.415,0.0,-0.647
0.6,12.898,0.0,-0.776
0.7,13.381,0.0,-0.906
0.8,13.864,0.0,-1.035
0.9,14.347000000000001,0.0,-1.165
1.0,14.83,0.0,-1.294
1.1,15.312999999999999,0.0,-1.424
1.2,15.796,0.0,-1.553
1.3,16.279,0.0,-1.682
1.4,16.761,0.0,-1.812
1.5,17.244,0.0,-1.941
1.6,17.727,0.0,-2.071
1.7,18.21,0.0,-2.2
1.8,18.692999999999998,0.0,-2.329
1.9,19.176000000000002,0.0,-2.459
2.0,19.659,0.0,-2.588
2.1,20.142,0.0,-2.718
2.2,20.625,0.0,-2.847
2.3,21.108,0.0,-2.976
2.4,21.591,0.0,-3.106
2.5,22.073999999999998,0.0,-3.235
2.6,22.557000000000002,0.0,-3.365
2.7,23.04,0.0,-3.494
2.8,23.523,0.0,-3.623
2.9,24.006,0.0,-3.753
3.0,24.489,0.0,-3.882
3.1,24.972,0.0,-4.012
3.2,25.455,0.0,-4.141
3.3,25.938000000000002,0.0,-4.271
3.4,26.421,0.0,-4.4
3.5,26.904,0.0,-4.529
3.6,27.387,0.0,-4.659
3.7,27.87,0.0,-4.788
3.8,28.353,0.0,-4.918
3.9,28.836,0.0,-5.047
4.0,29.319,0.0,-5.176
4.1,29.801,0.0,-5.306
4.2,30.284,0.0,-5.435
4.3,30.767,0.0,-5.565
4.4,31.25,0.0,-5.694
4.5,31.733,0.0,-5.823
4.6,32.216,0.0,-5.953
4.7,32.699,0.0,-6.082
4.8,33.182,0.0,-6.212
4.9,33.665,0.0,-6.341
5.0,34.147999999999996,0.0,-6.47
5.1,34.631,0.0,-6.6
5.2,35.114000000000004,0.0,-6.729
5.3,35.597,0.0,-6.859
5.4,36.08,0.0,-6.988
5.5,36.563,0.0,-7.118
5.6,37.046,0.0,-7.247
5.7,37.528999999999996,0.0,-7.376
5.8,38.012,0.0,-7.506
5.9,38.495000000000005,0.0,-7.635
6.0,38.978,0.0,-7.765
6.1,39.461,0.0,-7.894
6.2,39.944,0.0,-8.023
6.3,40.427,0.0,-8.153
6.4,40.91,0.0,-8.282
6.5,41.393,0.0,-8.412
6.6,41.876000000000005,0.0,-8.541
6.7,42.359,0.0,-8.67
6.8,42.841,0.0,-8.8
6.9,43.324,0.0,-8.929
7.0,43.807,0.0,-9.059
7.1,44.29,0.0,-9.188
7.2,44.773,0.0,-9.317
7.3,45.256,0.0,-9.447
7.4,45.739,0.0,-9.576
7.5,46.222,0.0,-9.706
7.6,46.705,0.0,-9.835
7.7,47.188,0.0,-9.965
7.8,47.671,0.0,-10.094
7.9,48.154,0.0,-10.223
8.0,48.637,0.0,-10.353
8.1,49.12,0.0,-10.482
8.2,49.603,0.0,-10.612
8.3,50.086,0.0,-10.741
8.4,50.569,0.0,-10.87
8.5,51.052,0.0,-11.0
8.6,51.535,0.0,-11.129
8.7,52.018,0.0,-11.259
8.8,52.501,0.0,-11.388
8.9,52.984,0.0,-11.517
9.0,53.467,0.0,-11.647
9.1,53.95,0.0,-11.776
9.2,54.433,0.0,-11.906
9.3,54.916,0.0,-12.035
9.4,55.399,0.0,-12.164
9.5,55.881,0.0,-12.294
9.6,56.364,0.0,-12.423
9.7,56.847,0.0,-12.553
9.8,57.33,0.0,-12.682
9.9,57.813,0.0,-12.812
10.0,58.296,0.0,-12.941
10.1,58.779,0.0,-13.07
10.2,59.262,0.0,-13.2
10.3,59.745,0.0,-13.329
10.4,60.228,0.0,-13.459
10.5,60.711,0.0,-13.588
10.6,61.194,0.0,-13.717
10.7,61.677,0.0,-13.847
10.8,62.16,0.0,-13.976
10.9,62.643,0.0,-14.106
11.0,63.126,0.0,-14.235
11.1,63.609,0.0,-14.364
11.2,64.092,0.0,-14.494
11.3,64.575,0.0,-14.623
11.4,65.05799999999999,0.0,-14.753
11.5,65.541,0.0,-14.882
11.6,66.024,0.0,-15.012
11.7,66.507,0.0,-15.141
