Time (s),North (m),East (m),Down (m)
0.0,-4.999999999999998,8.660254037844387,0.0
0.1,-4.516999999999999,8.660254037844387,-0.129
0.2,-4.033999999999998,8.660254037844387,-0.259
0.3,-3.5509999999999984,8.660254037844387,-0.388
0.4,-3.0679999999999983,8.660254037844387,-0.518
0.5,-2.584999999999998,8.660254037844387,-0.647
0.6,-2.101999999999998,8.660254037844387,-0.776
0.7,-1.6189999999999984,8.660254037844387,-0.906
0.8,-1.1359999999999983,8.660254037844387,-1.035
0.9,-0.6529999999999978,8.660254037844387,-1.165
1.0,-0.16999999999999815,8.660254037844387,-1.294
1.1,0.3130000000000015,8.660254037844387,-1.424
1.2,0.796000000000002,8.660254037844387,-1.553
1.3,1.2790000000000017,8.660254037844387,-1.682
1.4,1.761000000000002,8.660254037844387,-1.812
1.5,2.2440000000000015,8.660254037844387,-1.941
1.6,2.727000000000002,8.660254037844387,-2.071
1.7,3.2100000000000026,8.660254037844387,-2.2
1.8,3.6930000000000014,8.660254037844387,-2.329
1.9,4.176000000000002,8.660254037844387,-2.459
2.0,4.6590000000000025,8.660254037844387,-2.588
2.1,5.142000000000001,8.660254037844387,-2.718
2.2,5.625000000000002,8.660254037844387,-2.847
2.3,6.108000000000002,8.660254037844387,-2.976
2.4,6.591000000000001,8.660254037844387,-3.106
2.5,7.074000000000002,8.660254037844387,-3.235
2.6,7.557000000000002,8.660254037844387,-3.365
2.7,8.040000000000001,8.660254037844387,-3.494
2.8,8.523000000000001,8.660254037844387,-3.623
2.9,9.006000000000002,8.660254037844387,-3.753
3.0,9.489000000000003,8.660254037844387,-3.882
3.1,9.972000000000001,8.660254037844387,-4.012
3.2,10.455000000000002,8.660254037844387,-4.141
3.3,10.938000000000002,8.660254037844387,-4.271
3.4,11.421000000000001,8.660254037844387,-4.4
3.5,11.904000000000002,8.660254037844387,-4.529
3.6,12.387000000000002,8.660254037844387,-4.659
3.7,12.870000000000003,8.660254037844387,-4.788
3.8,13.353000000000003,8.660254037844387,-4.918
3.9,13.836,8.660254037844387,-5.047
4.0,14.319,8.660254037844387,-5.176
4.1,14.801,8.660254037844387,-5.306
4.2,15.284,8.660254037844387,-5.435
4.3,15.767000000000001,8.660254037844387,-5.565
4.4,16.25,8.660254037844387,-5.694
4.5,16.733000000000004,8.660254037844387,-5.823
4.6,17.216,8.660254037844387,-5.953
4.7,17.699000000000005,8.660254037844387,-6.082
4.8,18.182000000000002,8.660254037844387,-6.212
4.9,18.665,8.660254037844387,-6.341
5.0,19.148000000000003,8.660254037844387,-6.47
5.1,19.631,8.660254037844387,-6.6
5.2,20.114000000000004,8.660254037844387,-6.729
5.3,20.597,8.660254037844387,-6.859
5.4,21.08,8.660254037844387,-6.988
5.5,21.563000000000002,8.660254037844387,-7.118
5.6,22.046,8.660254037844387,-7.247
5.7,22.529000000000003,8.660254037844387,-7.376
